FILENAME,LIBRARY NAME,SUPPLIER,URL
Thunder_Very-Close_Rain_08.wav,44.1 General Library,InspectorJ,https://sonniss.com/sound-effects/44-1-general-library/
Whistle_Finger_Moderate_02.wav,44.1 General Library,InspectorJ,https://sonniss.com/sound-effects/44-1-general-library/
Woodchipper_Close_01.wav,44.1 General Library,InspectorJ,https://sonniss.com/sound-effects/44-1-general-library/
AbstractSpaceship_Flyby_Ascending_A04.wav,Abstract Spaceships,InspectorJ,https://sonniss.com/sound-effects/abstract-spaceships/
AbstractSpaceship_Flyby_Ascending_C19.wav,Abstract Spaceships,InspectorJ,https://sonniss.com/sound-effects/abstract-spaceships/
AbstractSpaceship_Flyby_Descending_C10.wav,Abstract Spaceships,InspectorJ,https://sonniss.com/sound-effects/abstract-spaceships/
AbstractSpaceshipA07_Flat.wav,Abstract Spaceships,InspectorJ,https://sonniss.com/sound-effects/abstract-spaceships/
Amb_BRT_Batad_A02_Village_LOOP.wav,Banaue Rice Terraces,InspectorJ,https://sonniss.com/sound-effects/ambience-banaue-rice-terraces/
Amb_BRT_Mid-Day_C11_Animals_LOOP.wav,Banaue Rice Terraces,InspectorJ,https://sonniss.com/sound-effects/ambience-banaue-rice-terraces/
Amb_BRT_Morning_B04_River_LOOP.wav,Banaue Rice Terraces,InspectorJ,https://sonniss.com/sound-effects/ambience-banaue-rice-terraces/
Amb_BRT_Night_E01_Clean_LOOP.wav,Banaue Rice Terraces,InspectorJ,https://sonniss.com/sound-effects/ambience-banaue-rice-terraces/
BB_CreatureVoiceC_Dry_088.wav,Hidden Voices - Bodyboard,InspectorJ,https://sonniss.com/sound-effects/hidden-voices-bodyboard/
BB_CreatureVoiceG_Dry_281.wav,Hidden Voices - Bodyboard,InspectorJ,https://sonniss.com/sound-effects/hidden-voices-bodyboard/
BB_Laugh_22.wav,Hidden Voices - Bodyboard,InspectorJ,https://sonniss.com/sound-effects/hidden-voices-bodyboard/
BB_Scrape_19.wav,Hidden Voices - Bodyboard,InspectorJ,https://sonniss.com/sound-effects/hidden-voices-bodyboard/
Flexatone_Quiver_09.wav,Hidden Voices- Flexatone,InspectorJ,https://sonniss.com/sound-effects/hidden-voices-flexatone/
Flexatone_VoiceA_Laugh_Long_08.wav,Hidden Voices- Flexatone,InspectorJ,https://sonniss.com/sound-effects/hidden-voices-flexatone/
Flexatone_VoiceA_Really_16.wav,Hidden Voices- Flexatone,InspectorJ,https://sonniss.com/sound-effects/hidden-voices-flexatone/
Flexatone_VoiceD_Talk_20.wav,Hidden Voices- Flexatone,InspectorJ,https://sonniss.com/sound-effects/hidden-voices-flexatone/
Piano_MalletStrike_Metal_Damped_G_Full.wav,Piano Mallet Strikes and FX,InspectorJ,https://sonniss.com/sound-effects/piano-mallet-strikes-fx/
